mrd,vrd,c,cc,hh,h,mrd_type,vrd_type,product_type,new_product_type
-61.2,135.3,25/30,50,185,135,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.5-100-50
-61.2,135.3,25/30,30,165,135,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-16.5-100-30
-61.2,135.3,25/30,35,170,135,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.0-100-35
-61.2,135.3,25/30,40,175,135,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.5-100-40
-61.2,135.3,25/30,45,180,135,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.0-100-45
-52.6,176.0,30/37,50,185,135,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.5-100-50
-52.6,176.0,30/37,30,165,135,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-16.5-100-30
-52.6,176.0,30/37,35,170,135,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.0-100-35
-52.6,176.0,30/37,40,175,135,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.5-100-40
-52.6,176.0,30/37,45,180,135,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.0-100-45
-61.2,149.1,30/37,50,185,135,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.5-100-50
-61.2,149.1,30/37,30,165,135,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-16.5-100-30
-61.2,149.1,30/37,35,170,135,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.0-100-35
-61.2,149.1,30/37,40,175,135,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.5-100-40
-61.2,149.1,30/37,45,180,135,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.0-100-45
-43.4,176.0,20/25,50,190,140,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-19.0-100-50
-43.4,176.0,20/25,30,170,140,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.0-100-30
-43.4,176.0,20/25,35,175,140,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.5-100-35
-43.4,176.0,20/25,40,180,140,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.0-100-40
-43.4,176.0,20/25,45,185,140,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.5-100-45
-61.0,123.9,20/25,50,190,140,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-19.0-100-50
-61.0,123.9,20/25,30,170,140,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.0-100-30
-61.0,123.9,20/25,35,175,140,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.5-100-35
-61.0,123.9,20/25,40,180,140,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.0-100-40
-61.0,123.9,20/25,45,185,140,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.5-100-45
-50.2,176.0,25/30,50,190,140,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-19.0-100-50
-50.2,176.0,25/30,30,170,140,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.0-100-30
-50.2,176.0,25/30,35,175,140,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.5-100-35
-50.2,176.0,25/30,40,180,140,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.0-100-40
-50.2,176.0,25/30,45,185,140,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.5-100-45
-64.4,135.3,25/30,50,190,140,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-19.0-100-50
-64.4,135.3,25/30,30,170,140,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.0-100-30
-64.4,135.3,25/30,35,175,140,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.5-100-35
-64.4,135.3,25/30,40,180,140,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.0-100-40
-64.4,135.3,25/30,45,185,140,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.5-100-45
-55.2,176.0,30/37,50,190,140,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-19.0-100-50
-55.2,176.0,30/37,30,170,140,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.0-100-30
-55.2,176.0,30/37,35,175,140,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.5-100-35
-55.2,176.0,30/37,40,180,140,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.0-100-40
-55.2,176.0,30/37,45,185,140,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.5-100-45
-64.4,149.1,30/37,50,190,140,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-19.0-100-50
-64.4,149.1,30/37,30,170,140,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.0-100-30
-64.4,149.1,30/37,35,175,140,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.5-100-35
-64.4,149.1,30/37,40,180,140,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.0-100-40
-64.4,149.1,30/37,45,185,140,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.5-100-45
-45.5,176.0,20/25,50,195,145,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-19.5-100-50
-45.5,176.0,20/25,30,175,145,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.5-100-30
-45.5,176.0,20/25,35,180,145,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.0-100-35
-45.5,176.0,20/25,40,185,145,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.5-100-40
-45.5,176.0,20/25,45,190,145,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-19.0-100-45
-63.8,124.9,20/25,50,195,145,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-19.5-100-50
-63.8,124.9,20/25,30,175,145,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.5-100-30
